,material_id,formation_energy_per_atom,band_gap,pretty_formula,e_above_hull,elements,cif,spacegroup.number
5830,mp-3507,-0.8999725860000005,0.0,Lu(SiPd)2,0.0,"['Lu', 'Si', 'Pd']","# generated using pymatgen
data_Lu(SiPd)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.77055956
_cell_length_b   5.77055956
_cell_length_c   5.77055956
_cell_angle_alpha   138.17263885
_cell_angle_beta   138.17263885
_cell_angle_gamma   60.63869685
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Lu(SiPd)2
_chemical_formula_sum   'Lu1 Si2 Pd2'
_cell_volume   84.54336091
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Lu  Lu0  1  0.00000000  0.00000000  0.00000000  1
  Si  Si1  1  0.61493900  0.61493900  0.00000000  1
  Si  Si2  1  0.38506100  0.38506100  0.00000000  1
  Pd  Pd3  1  0.25000000  0.75000000  0.50000000  1
  Pd  Pd4  1  0.75000000  0.25000000  0.50000000  1
",139
39497,mvc-5870,-2.7895455490000005,1.0088999999999997,Ca2VWO6,0.050911545291667,"['Ca', 'O', 'V', 'W']","# generated using pymatgen
data_Ca2VWO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.56396800
_cell_length_b   5.57684584
_cell_length_c   5.58737127
_cell_angle_alpha   60.17858320
_cell_angle_beta   60.58802330
_cell_angle_gamma   60.31256745
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ca2VWO6
_chemical_formula_sum   'Ca2 V1 W1 O6'
_cell_volume   123.58734271
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.24539300  0.22985100  0.25488800  1
  Ca  Ca1  1  0.75460700  0.77014900  0.74511200  1
  V  V2  1  0.50000000  0.50000000  0.50000000  1
  W  W3  1  0.00000000  0.00000000  0.00000000  1
  O  O4  1  0.80232700  0.18368000  0.29835600  1
  O  O5  1  0.19767300  0.81632000  0.70164400  1
  O  O6  1  0.77320500  0.33650400  0.75317700  1
  O  O7  1  0.70491400  0.81414700  0.17641800  1
  O  O8  1  0.29508600  0.18585300  0.82358200  1
  O  O9  1  0.22679500  0.66349600  0.24682300  1
",2
38938,mp-759316,-2.2952086780993435,0.0,LiMn2O3F,0.0478610952678568,"['F', 'Li', 'Mn', 'O']","# generated using pymatgen
data_LiMn2O3F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.98987592
_cell_length_b   5.98987592
_cell_length_c   5.98987597
_cell_angle_alpha   61.73877892
_cell_angle_beta   61.73877892
_cell_angle_gamma   61.73877819
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMn2O3F
_chemical_formula_sum   'Li2 Mn4 O6 F2'
_cell_volume   157.88451597
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.10627500  0.10627500  0.10627500  1
  Li  Li1  1  0.89372500  0.89372500  0.89372500  1
  Mn  Mn2  1  0.50000000  0.00000000  0.50000000  1
  Mn  Mn3  1  0.50000000  0.50000000  0.50000000  1
  Mn  Mn4  1  0.50000000  0.50000000  0.00000000  1
  Mn  Mn5  1  0.00000000  0.50000000  0.50000000  1
  O  O6  1  0.74202700  0.74202700  0.30491200  1
  O  O7  1  0.74202700  0.30491200  0.74202700  1
  O  O8  1  0.30491200  0.74202700  0.74202700  1
  O  O9  1  0.69508800  0.25797300  0.25797300  1
  O  O10  1  0.25797300  0.25797300  0.69508800  1
  O  O11  1  0.25797300  0.69508800  0.25797300  1
  F  F12  1  0.76259600  0.76259600  0.76259600  1
  F  F13  1  0.23740400  0.23740400  0.23740400  1
",166
40169,mp-1218148,-2.849830790666668,1.2377000000000002,SrLaVFeO6,0.0544562493333344,"['Fe', 'La', 'O', 'Sr', 'V']","# generated using pymatgen
data_SrLaVFeO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.53857351
_cell_length_b   5.60348532
_cell_length_c   9.68247715
_cell_angle_alpha   73.14923187
_cell_angle_beta   90.55088840
_cell_angle_gamma   59.66271017
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrLaVFeO6
_chemical_formula_sum   'Sr2 La2 V2 Fe2 O12'
_cell_volume   243.74622079
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.37455400  0.25012800  0.12528400  1
  Sr  Sr1  1  0.87439700  0.25021300  0.62523500  1
  La  La2  1  0.12235600  0.75177700  0.37669800  1
  La  La3  1  0.62250600  0.74982200  0.87678200  1
  V  V4  1  0.24918700  0.49998800  0.75066400  1
  V  V5  1  0.74903400  0.50042200  0.25048500  1
  Fe  Fe6  1  0.49980800  0.00031600  0.50012000  1
  Fe  Fe7  1  0.99979800  0.00015300  0.99976000  1
  O  O8  1  0.62763900  0.25023400  0.37435600  1
  O  O9  1  0.12709300  0.25033000  0.87409300  1
  O  O10  1  0.62644900  0.74841800  0.37414700  1
  O  O11  1  0.12738300  0.74780800  0.87432600  1
  O  O12  1  0.11377600  0.25680300  0.37187300  1
  O  O13  1  0.61414100  0.25715100  0.87179900  1
  O  O14  1  0.87335600  0.74865200  0.12506000  1
  O  O15  1  0.37401400  0.74900900  0.62573900  1
  O  O16  1  0.87460500  0.25079400  0.12588500  1
  O  O17  1  0.37365700  0.25239700  0.62534100  1
  O  O18  1  0.38826800  0.74237900  0.12614600  1
  O  O19  1  0.88797900  0.74320700  0.62620700  1
",216
23334,mp-28781,-4.106179565921053,5.7458,PrZr3F15,0.0046318053947613,"['F', 'Pr', 'Zr']","# generated using pymatgen
data_PrZr3F15
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.52251867
_cell_length_b   7.52251867
_cell_length_c   7.52251891
_cell_angle_alpha   112.67178124
_cell_angle_beta   112.67178124
_cell_angle_gamma   112.67178912
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrZr3F15
_chemical_formula_sum   'Pr1 Zr3 F15'
_cell_volume   282.28680793
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.49391200  0.49391200  0.49391200  1
  Zr  Zr1  1  0.85517800  0.28635200  0.85517800  1
  Zr  Zr2  1  0.28635200  0.85517800  0.85517800  1
  Zr  Zr3  1  0.85517800  0.85517800  0.28635200  1
  F  F4  1  0.59867200  0.92880200  0.14256600  1
  F  F5  1  0.92880200  0.14256600  0.59867200  1
  F  F6  1  0.14256600  0.59867200  0.92880200  1
  F  F7  1  0.92880200  0.59867200  0.14256600  1
  F  F8  1  0.59624600  0.59624600  0.25629000  1
  F  F9  1  0.25629000  0.59624600  0.59624600  1
  F  F10  1  0.59624600  0.25629000  0.59624600  1
  F  F11  1  0.13717200  0.13717200  0.35957800  1
  F  F12  1  0.35957800  0.13717200  0.13717200  1
  F  F13  1  0.13717200  0.35957800  0.13717200  1
  F  F14  1  0.67880200  0.67880200  0.91615900  1
  F  F15  1  0.91615900  0.67880200  0.67880200  1
  F  F16  1  0.67880200  0.91615900  0.67880200  1
  F  F17  1  0.14256600  0.92880200  0.59867200  1
  F  F18  1  0.59867200  0.14256600  0.92880200  1
",160
26874,mp-555210,-1.8304634204117656,1.2418,K4W2Cl10O,0.0108632448529384,"['Cl', 'K', 'O', 'W']","# generated using pymatgen
data_K4W2Cl10O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.40973712
_cell_length_b   10.40973712
_cell_length_c   10.40973712
_cell_angle_alpha   138.65388232
_cell_angle_beta   138.65388232
_cell_angle_gamma   59.90300891
_symmetry_Int_Tables_number   1
_chemical_formula_structural   K4W2Cl10O
_chemical_formula_sum   'K4 W2 Cl10 O1'
_cell_volume   487.25614990
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.25000000  0.75000000  0.50000000  1
  K  K1  1  0.50000000  0.00000000  0.50000000  1
  K  K2  1  0.75000000  0.25000000  0.50000000  1
  K  K3  1  0.00000000  0.50000000  0.50000000  1
  W  W4  1  0.10658800  0.10658800  0.00000000  1
  W  W5  1  0.89341200  0.89341200  0.00000000  1
  Cl  Cl6  1  0.65054500  0.12560100  0.00000000  1
  Cl  Cl7  1  0.34945500  0.34945500  0.47505600  1
  Cl  Cl8  1  0.75793800  0.75793800  0.00000000  1
  Cl  Cl9  1  0.24206200  0.24206200  0.00000000  1
  Cl  Cl10  1  0.12560100  0.65054500  0.00000000  1
  Cl  Cl11  1  0.87439900  0.34945500  0.00000000  1
  Cl  Cl12  1  0.65054500  0.65054500  0.52494400  1
  Cl  Cl13  1  0.87439900  0.87439900  0.52494400  1
  Cl  Cl14  1  0.12560100  0.12560100  0.47505600  1
  Cl  Cl15  1  0.34945500  0.87439900  0.00000000  1
  O  O16  1  0.00000000  0.00000000  0.00000000  1
",139
31673,mp-1216486,-0.3601334600000001,0.0,V3Rh5,0.0229187737499998,"['Rh', 'V']","# generated using pymatgen
data_V3Rh5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.41576775
_cell_length_b   5.41576775
_cell_length_c   4.32682400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.64019978
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V3Rh5
_chemical_formula_sum   'V3 Rh5'
_cell_volume   110.30192885
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.91065400  0.08934600  0.00000000  1
  V  V1  1  0.58247600  0.41752400  0.50000000  1
  V  V2  1  0.08635300  0.91364700  0.50000000  1
  Rh  Rh3  1  0.41686600  0.58313400  0.00000000  1
  Rh  Rh4  1  0.59136100  0.91036600  0.50000000  1
  Rh  Rh5  1  0.08963400  0.40863900  0.50000000  1
  Rh  Rh6  1  0.41136700  0.08871100  0.00000000  1
  Rh  Rh7  1  0.91128900  0.58863300  0.00000000  1
",38
32715,mp-1221505,-0.4790255594827597,0.1642999999999999,MnZnTe2,0.0260815847557465,"['Mn', 'Te', 'Zn']","# generated using pymatgen
data_MnZnTe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.66452850
_cell_length_b   7.66452850
_cell_length_c   7.66452865
_cell_angle_alpha   33.67846304
_cell_angle_beta   33.67846304
_cell_angle_gamma   33.67846324
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MnZnTe2
_chemical_formula_sum   'Mn1 Zn1 Te2'
_cell_volume   123.34985451
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.00015800  0.00015800  0.00015800  1
  Zn  Zn1  1  0.49998100  0.49998100  0.49998100  1
  Te  Te2  1  0.12613600  0.12613600  0.12613600  1
  Te  Te3  1  0.62372500  0.62372500  0.62372500  1
",160
41950,mp-772309,-1.771613095208333,0.0,Li3Ti(CuO2)4,0.0628132621874995,"['Cu', 'Li', 'O', 'Ti']","# generated using pymatgen
data_Li3Ti(CuO2)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.17992750
_cell_length_b   6.17992750
_cell_length_c   5.66437222
_cell_angle_alpha   64.18872388
_cell_angle_beta   64.18872388
_cell_angle_gamma   55.57261233
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li3Ti(CuO2)4
_chemical_formula_sum   'Li3 Ti1 Cu4 O8'
_cell_volume   155.33230574
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.00000000  0.50000000  0.00000000  1
  Li  Li1  1  0.00000000  0.00000000  0.50000000  1
  Li  Li2  1  0.50000000  0.00000000  0.00000000  1
  Ti  Ti3  1  0.50000000  0.50000000  0.00000000  1
  Cu  Cu4  1  0.50000000  0.50000000  0.50000000  1
  Cu  Cu5  1  0.00000000  0.00000000  0.00000000  1
  Cu  Cu6  1  0.00000000  0.50000000  0.50000000  1
  Cu  Cu7  1  0.50000000  0.00000000  0.50000000  1
  O  O8  1  0.28395200  0.28395200  0.24383200  1
  O  O9  1  0.24286700  0.70656000  0.76968800  1
  O  O10  1  0.70656000  0.24286700  0.76968800  1
  O  O11  1  0.79368400  0.79368400  0.23992100  1
  O  O12  1  0.20631600  0.20631600  0.76007900  1
  O  O13  1  0.29344000  0.75713300  0.23031200  1
  O  O14  1  0.75713300  0.29344000  0.23031200  1
  O  O15  1  0.71604800  0.71604800  0.75616800  1
",12
26903,mp-608311,-1.536081608086207,3.8262,Cs2Li3I5,0.0114864209999998,"['Cs', 'I', 'Li']","# generated using pymatgen
data_Cs2Li3I5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.75266917
_cell_length_b   8.83605285
_cell_length_c   10.93680348
_cell_angle_alpha   67.24793699
_cell_angle_beta   77.46214637
_cell_angle_gamma   74.41396660
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs2Li3I5
_chemical_formula_sum   'Cs2 Li3 I5'
_cell_volume   404.65108438
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.68125000  0.85941100  0.77293800  1
  Cs  Cs1  1  0.31404000  0.14501900  0.22681300  1
  Li  Li2  1  0.04602400  0.69505200  0.20587100  1
  Li  Li3  1  0.50787400  0.50039800  0.49740600  1
  Li  Li4  1  0.94367400  0.31175100  0.79387200  1
  I  I5  1  0.35674800  0.47711900  0.80355800  1
  I  I6  1  0.09847600  0.24306800  0.56179400  1
  I  I7  1  0.89698000  0.76386500  0.43768800  1
  I  I8  1  0.63403900  0.52716900  0.19936100  1
  I  I9  1  0.99807600  0.00259500  0.99953200  1
",5
